pce_max,FA,MA,Cs,Rb,Pb,Sn,I,Br,Cl,effective_area,anneal_T1,anneal_t1,anneal_T2,anneal_t2,encapsulation,ISOS-test_type,Temperature,RH,Sun,thickness,stable,deposit_type_Encoded,deposit_step_Encoded,anti_solution_Encoded,anti_add_Encoded,precursor_solution_Encoded,precursor_add_Encoded,structure_Encoded,substrate_Encoded,electrode_Encoded,ETL_Encoded,ETL-2_Encoded,ETL_add_Encoded,HTL_Encoded,HTL-2_Encoded,HTL_add_Encoded,up_passive_Encoded,down_passive_Encoded,anneal_atmosphere_Encoded,Is_FAMACs,Is_FACs,double_element,Is_FA,single_element,Is_FAMA,Is_Cs,Is_MA,tf,miu
0.256,0.931,0.019,0.05,0.0,1.0,0.0,2.94,0.06,0.0,0.062,110,20.0,0,0,0,7.0,85.0,0.0,0.0,5,1.0,5,1,0,32,6,78,0,1,0,6,2,38,51,15,37,104,68,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9766002269282911,0.542091836734694
0.256,0.9,0.06,0.04,0.0,1.0,0.0,3.0,0.0,0.0,0.07,100,60.0,0,0,0,5.0,45.0,50.0,100.0,6,0.0,5,1,0,32,6,162,0,0,7,3,3,38,38,6,37,81,68,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749337523754624,0.5409090909090909
0.256,0.9,0.06,0.04,0.0,1.0,0.0,3.0,0.0,0.0,0.07,100,60.0,0,0,1,11.0,65.0,50.0,100.0,6,0.0,5,1,0,32,6,162,0,0,7,3,3,38,38,6,37,81,68,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749337523754624,0.5409090909090909
0.256,0.9,0.06,0.04,0.0,1.0,0.0,3.0,0.0,0.0,0.07,100,60.0,0,0,1,11.0,85.0,50.0,100.0,6,0.0,5,1,0,32,6,162,0,0,7,3,3,38,38,6,37,81,68,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749337523754624,0.5409090909090909
0.2556,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.07356,150,5.0,100,10,0,11.0,85.0,30.0,100.0,8,1.0,2,1,0,32,6,78,0,5,7,6,13,38,38,6,10,109,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2546,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,10.0,0,0,0,2.0,25.0,35.0,0.0,6,1.0,2,1,6,32,6,87,1,0,3,14,27,38,56,15,14,167,68,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2541,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.073,150,30.0,0,0,0,2.0,25.0,50.0,0.0,8,1.0,5,1,0,19,6,78,1,0,3,19,12,38,56,15,14,167,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2541,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.073,150,30.0,0,0,0,4.0,25.0,0.0,100.0,8,1.0,5,1,0,19,6,78,1,0,3,19,12,38,56,15,14,167,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.254,0.9,0.06,0.04,0.0,1.0,0.0,3.0,0.0,0.0,0.07,100,60.0,0,0,0,12.0,65.0,50.0,100.0,5,0.0,5,1,0,32,6,7,0,0,7,3,3,38,38,6,37,167,51,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9749337523754624,0.5409090909090909
0.2532,0.93,0.07,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,15.0,0,0,0,1.0,25.0,0.0,0.0,5,1.0,3,2,10,32,7,84,1,2,0,11,27,38,56,15,14,167,68,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9813582195498664,0.5409090909090909
